State,Median Income 15 to 24 years,Median Income 25 to 44 years,Median Income 45 to 64 years,Median Income 65 years and over
Hawaii,"$55,320 ","$94,201 ","$108,693 ","$77,957 "
Maryland,"$48,457 ","$98,953 ","$119,307 ","$69,070 "
Alaska,"$60,279 ","$96,771 ","$102,313 ","$66,292 "
New Jersey,"$52,624 ","$106,274 ","$117,412 ","$65,988 "
California,"$49,532 ","$100,620 ","$107,236 ","$65,628 "
Connecticut,"$45,347 ","$97,380 ","$107,844 ","$65,053 "
Colorado,"$48,585 ","$99,253 ","$106,655 ","$63,445 "
Utah,"$54,506 ","$95,206 ","$111,825 ","$63,225 "
Delaware,"$41,216 ","$90,172 ","$98,135 ","$62,733 "
Washington,"$54,660 ","$102,996 ","$110,130 ","$62,597 "
Virginia,"$44,335 ","$93,923 ","$107,552 ","$61,447 "
Massachusetts,"$53,615 ","$108,536 ","$115,864 ","$60,810 "
New Hampshire,"$58,255 ","$101,859 ","$114,313 ","$59,946 "
Arizona,"$50,398 ","$81,195 ","$92,454 ","$57,507 "
Minnesota,"$48,813 ","$94,868 ","$102,552 ","$56,839 "
North Dakota,"$40,508 ","$82,358 ","$90,744 ","$56,319 "
Oregon,"$45,239 ","$86,934 ","$89,663 ","$55,973 "
New York,"$43,121 ","$92,270 ","$93,854 ","$55,878 "
Rhode Island,"$53,236 ","$93,542 ","$99,092 ","$55,691 "
Illinois,"$39,545 ","$86,623 ","$92,666 ","$55,071 "
Nevada,"$51,199 ","$77,839 ","$84,647 ","$54,959 "
Vermont,"$41,265 ","$88,484 ","$91,631 ","$53,245 "
Wyoming,"$39,353 ","$83,815 ","$79,563 ","$53,229 "
Florida,"$42,617 ","$77,487 ","$82,587 ","$52,625 "
Texas,"$38,563 ","$77,881 ","$88,321 ","$52,331 "
Kansas,"$36,935 ","$79,212 ","$84,943 ","$52,203 "
Idaho,"$44,999 ","$82,710 ","$86,632 ","$52,132 "
Iowa,"$42,262 ","$79,279 ","$88,331 ","$52,006 "
Nebraska,"$37,867 ","$79,871 ","$88,391 ","$51,974 "
Maine,"$49,037 ","$81,193 ","$82,775 ","$51,870 "
Georgia,"$41,018 ","$78,182 ","$87,602 ","$51,664 "
Michigan,"$40,683 ","$75,984 ","$82,652 ","$51,010 "
South Dakota,"$44,195 ","$80,824 ","$84,326 ","$50,665 "
Pennsylvania,"$40,784 ","$83,481 ","$88,589 ","$50,330 "
South Carolina,"$40,620 ","$72,086 ","$76,234 ","$50,287 "
New Mexico,"$30,195 ","$66,010 ","$70,567 ","$50,240 "
Wisconsin,"$42,103 ","$83,689 ","$86,861 ","$50,167 "
North Carolina,"$43,453 ","$74,876 ","$81,185 ","$49,781 "
Ohio,"$38,314 ","$75,119 ","$81,640 ","$49,081 "
Tennessee,"$42,104 ","$71,706 ","$80,307 ","$48,478 "
Indiana,"$37,133 ","$76,734 ","$82,433 ","$48,309 "
Missouri,"$38,273 ","$74,132 ","$78,791 ","$48,298 "
Montana,"$41,174 ","$80,901 ","$79,817 ","$48,165 "
Oklahoma,"$35,945 ","$65,842 ","$71,172 ","$47,259 "
Alabama,"$29,426 ","$65,647 ","$73,784 ","$47,114 "
Kentucky,"$37,769 ","$69,081 ","$70,914 ","$43,927 "
Arkansas,"$40,558 ","$63,320 ","$64,247 ","$42,943 "
Louisiana,"$34,407 ","$64,889 ","$64,298 ","$42,215 "
West Virginia,"$27,380 ","$64,761 ","$66,250 ","$41,438 "
Mississippi,"$36,457 ","$58,641 ","$60,998 ","$41,013 "
