State,Income
Alabama,"$53,888.81 "
Alaska,"$45,926.40 "
Arizona,"$42,480.06 "
Arkansas,"$50,612.91 "
California,"$60,530.94 "
Colorado,"$55,041.83 "
Connecticut,"$55,289.13 "
Delaware,"$48,046.69 "
Florida,"$48,129.27 "
Georgia,"$49,807.93 "
Hawaii,"$54,003.08 "
Idaho,"$43,371.94 "
Illinois,"$42,697.80 "
Indiana,"$52,637.65 "
Iowa,"$44,151.21 "
Kansas,"$46,007.50 "
Kentucky,"$42,223.75 "
Louisiana,"$47,766.91 "
Maine,"$56,947.75 "
Maryland,"$60,688.02 "
Massachusetts,"$43,002.78 "
Michigan,"$46,324.70 "
Minnesota,"$50,930.42 "
Mississippi,"$44,800.22 "
Missouri,"$43,775.91 "
Montana,"$41,466.79 "
Nebraska,"$48,941.17 "
Nevada,"$45,621.63 "
New Hampshire,"$44,034.61 "
New Jersey,"$49,427.75 "
New Mexico,"$57,863.53 "
New York,"$48,527.24 "
North Carolina,"$48,169.65 "
North Dakota,"$54,696.12 "
Ohio,"$44,771.82 "
Oklahoma,"$45,789.46 "
Oregon,"$48,398.12 "
Pennsylvania,"$47,559.44 "
Rhode Island,"$50,806.66 "
South Carolina,"$46,993.17 "
South Dakota,"$42,379.85 "
Tennessee,"$44,423.35 "
Texas,"$53,473.90 "
Utah,"$44,506.40 "
Vermont,"$55,912.58 "
Virginia,"$44,983.77 "
Washington,"$54,762.86 "
West Virginia,"$44,861.24 "
Wisconsin,"$40,876.44 "
Wyoming,"$44,377.34 "
